Price,Company,TypeName,Ghz,Cpu-brand,Gpu-brand,Ram,OS,Weight,Touchscreen,Ips,Retina,PPI,Memory,HDD,SSD,Hybrid,Flash_Storage,PriceCategory
9270.72,Acer,Netbook,1.5,Other Intel Processor,Intel,2,Others,1.3,0,0,0,135.0942111925629,32,0,1,0,0,Entry
10224.432,Asus,Netbook,1.44,Other Intel Processor,Intel,2,Windows,0.98,0,0,0,135.0942111925629,32,0,0,0,1,Entry
10442.88,Vero,Notebook,1.44,Other Intel Processor,Intel,4,Windows,1.35,0,0,0,165.6321180513006,32,0,0,0,1,Entry
10602.72,Asus,Notebook,1.5,AMD Processor,AMD,2,Windows,1.65,0,0,0,111.93520355955212,32,0,0,0,1,Entry
10602.72,Acer,Notebook,1.5,Other Intel Processor,Intel,2,Others,2.19,0,0,0,100.45466986113652,16,0,1,0,0,Entry
10810.512,Vero,Notebook,1.1,Other Intel Processor,Intel,4,Windows,1.22,0,0,0,157.3505121487356,32,0,0,0,1,Entry
11135.52,HP,Netbook,1.6,Other Intel Processor,Intel,2,Windows,1.17,0,0,0,135.0942111925629,32,0,0,0,1,Entry
11135.52,Acer,Notebook,1.5,Other Intel Processor,Intel,4,Others,2.2,0,0,0,100.45466986113652,16,0,1,0,0,Entry
11231.424,Vero,Notebook,1.44,Other Intel Processor,Intel,2,Windows,1.45,0,0,0,111.93520355955212,32,0,0,0,1,Entry
11934.72,Asus,Notebook,1.1,Other Intel Processor,Intel,4,Others,2.0,0,0,0,100.45466986113652,500,1,0,0,0,Entry
12201.12,HP,Notebook,1.6,Other Intel Processor,Intel,4,Windows,1.44,0,0,0,111.93520355955212,32,0,1,0,0,Entry
12201.12,Lenovo,Notebook,1.6,Other Intel Processor,Intel,2,Windows,1.5,0,0,0,111.93520355955212,64,0,0,0,1,Entry
12733.92,Mediacom,Notebook,1.44,Other Intel Processor,Intel,2,Windows,1.4,0,0,0,157.3505121487356,32,0,0,0,1,Entry
13053.0672,Chuwi,Notebook,1.44,Other Intel Processor,Intel,4,Windows,1.89,0,0,0,141.21199808219862,64,0,0,0,1,Entry
13053.6,Asus,Netbook,1.1,Other Intel Processor,Intel,2,Windows,1.1,0,0,0,135.0942111925629,32,0,0,0,1,Entry
13261.392000000002,Chuwi,Notebook,1.44,Other Intel Processor,Intel,4,Windows,1.89,0,0,0,141.21199808219862,64,0,0,0,1,Entry
13266.72,Lenovo,Notebook,1.6,Other Intel Processor,Intel,2,Windows,1.42,0,0,0,111.93520355955212,32,0,0,0,1,Entry
13266.72,Mediacom,Notebook,1.44,Other Intel Processor,Intel,4,Windows,1.4,0,0,0,157.3505121487356,32,0,1,0,0,Entry
13266.72,HP,Notebook,1.6,Other Intel Processor,Intel,2,Windows,1.44,0,0,0,111.93520355955212,32,0,0,0,1,Entry
13266.72,Lenovo,Notebook,1.1,Other Intel Processor,Intel,4,Windows,1.44,0,0,0,111.93520355955212,64,0,0,0,1,Entry
13445.7408,Lenovo,Notebook,1.1,Other Intel Processor,Intel,4,Others,1.9,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
13586.4,Mediacom,Notebook,1.44,Other Intel Processor,Intel,4,Windows,1.35,0,1,0,165.6321180513006,32,0,0,0,1,Entry
13746.24,HP,Notebook,1.5,AMD Processor,AMD,4,Others,1.86,0,0,0,100.45466986113652,500,1,0,0,0,Entry
13799.52,HP,Notebook,1.6,Other Intel Processor,Intel,4,Others,1.86,0,0,0,100.45466986113652,500,1,0,0,0,Entry
13852.8,Vero,Notebook,1.1,Other Intel Processor,Intel,4,Windows,1.3,0,1,0,157.3505121487356,32,0,0,0,1,Entry
14119.2,Mediacom,Notebook,1.92,Other Intel Processor,Intel,4,Windows,1.4,0,1,0,161.72539083525606,32,1,0,0,0,Entry
14119.2,Lenovo,Netbook,1.6,Other Intel Processor,Intel,4,Others,1.25,0,0,0,135.0942111925629,16,0,1,0,0,Entry
14332.32,Samsung,Netbook,1.6,Other Intel Processor,Intel,4,Others,1.15,0,0,0,135.0942111925629,16,0,0,0,1,Entry
14332.32,Acer,Netbook,1.6,Other Intel Processor,Intel,4,Windows,1.4,0,0,0,135.0942111925629,32,0,0,0,1,Entry
14418.6336,Lenovo,Notebook,1.1,Other Intel Processor,Intel,4,Others,1.9,0,0,0,100.45466986113652,128,0,1,0,0,Entry
14492.16,Acer,Notebook,2.0,Other Intel Processor,Intel,4,Others,2.1,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
14598.72,Lenovo,Notebook,1.6,Other Intel Processor,Intel,4,Windows,1.43,0,0,0,111.93520355955212,32,0,0,0,1,Entry
14646.672,Dell,Notebook,1.6,Other Intel Processor,Intel,4,Others,2.2,0,0,0,100.45466986113652,500,1,0,0,0,Entry
14651.4672,Asus,Notebook,1.1,Other Intel Processor,Intel,4,Others,2.0,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
14652.0,Asus,2 in 1 Convertible,1.1,Other Intel Processor,Intel,2,Windows,1.1,1,0,0,135.0942111925629,32,0,0,0,1,Entry
14811.3072,Asus,Notebook,1.5,AMD Processor,AMD,4,Windows,1.65,0,0,0,111.93520355955212,64,0,1,0,0,Entry
14811.84,Asus,Notebook,1.1,Other Intel Processor,Intel,4,Windows,1.5,0,0,0,111.93520355955212,32,0,0,0,1,Entry
14865.12,HP,Notebook,1.6,Other Intel Processor,Intel,2,Windows,1.44,0,0,0,111.93520355955212,32,0,0,0,1,Entry
15238.08,Asus,Notebook,1.1,Other Intel Processor,Intel,4,Windows,1.5,0,0,0,111.93520355955212,32,0,0,0,1,Entry
15339.311999999998,Asus,Netbook,1.6,Other Intel Processor,Intel,4,Others,1.2,0,0,0,135.0942111925629,16,0,0,0,1,Entry
15392.592,HP,Notebook,1.6,Other Intel Processor,Intel,4,Others,1.86,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
15397.92,Acer,Notebook,1.6,Other Intel Processor,Intel,4,Others,2.4,0,0,0,100.45466986113652,500,1,0,0,0,Entry
15557.76,Lenovo,Notebook,1.1,Other Intel Processor,Intel,4,Windows,1.44,0,0,0,111.93520355955212,32,0,0,0,1,Entry
